Strain	Environment	Experiment	Flask	Avg_GR	DFE_mean	Env_GR	Env_DFE_mean	GR_std	GR_max	GR_std_max_excluded	Env_series	DFE_graph
LK5-C11	37_SC3	LK5-C11_37_SC3	1	0.23274391226715951	0.010879202584627766	0.27109580099999997;0.1582744620236245;0.23242343714768549;0.20258328388555;0.23274391226715951;0.268678180997202;0.1726879909813075	-0.011577515290850137;0.009545896833589295;0.009104110830524387;0.00016715213234627367;0.010879202584627766;-0.006916316778475616;-0.004803683636379297	0.03780838716261411	0.268678180997202	0.030386679809897888	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-C11_dfes.png
LK5-C11	37_SC5	LK5-C11_37_SC5	1	0.268678180997202	-0.006916316778475616	0.27109580099999997;0.1582744620236245;0.23242343714768549;0.20258328388555;0.23274391226715951;0.268678180997202;0.1726879909813075	-0.011577515290850137;0.009545896833589295;0.009104110830524387;0.00016715213234627367;0.010879202584627766;-0.006916316778475616;-0.004803683636379297	0.03780838716261411	0.268678180997202	0.030386679809897888	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-C11_dfes.png
LK5-C11	37_SC7	LK5-C11_37_SC7	1	0.1726879909813075	-0.004803683636379297	0.27109580099999997;0.1582744620236245;0.23242343714768549;0.20258328388555;0.23274391226715951;0.268678180997202;0.1726879909813075	-0.011577515290850137;0.009545896833589295;0.009104110830524387;0.00016715213234627367;0.010879202584627766;-0.006916316778475616;-0.004803683636379297	0.03780838716261411	0.268678180997202	0.030386679809897888	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-C11_dfes.png
LK5-D09	30_SC3	LK5-D09_30_SC3	2	0.203867925268641	-7.892330907456736e-05	0.35368343599999996;0.203867925268641;0.2521135507286345;0.24826193834972354;0.321328202367987;0.33651798610569306;0.26073859026220547	-0.01298722494106885;-7.892330907456736e-05;0.026198795373515844;-0.006875762233425755;-0.009912165634372144;-0.006336590954614347;-0.012676685998465087	0.045294567613298906	0.33651798610569306	0.037616485273680486	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-D09_dfes.png
LK5-D09	30_SC5	LK5-D09_30_SC5	2	0.2521135507286345	0.026198795373515844	0.35368343599999996;0.203867925268641;0.2521135507286345;0.24826193834972354;0.321328202367987;0.33651798610569306;0.26073859026220547	-0.01298722494106885;-7.892330907456736e-05;0.026198795373515844;-0.006875762233425755;-0.009912165634372144;-0.006336590954614347;-0.012676685998465087	0.045294567613298906	0.33651798610569306	0.037616485273680486	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-D09_dfes.png
LK5-D09	30_SC7	LK5-D09_30_SC7	2	0.24826193834972354	-0.006875762233425755	0.35368343599999996;0.203867925268641;0.2521135507286345;0.24826193834972354;0.321328202367987;0.33651798610569306;0.26073859026220547	-0.01298722494106885;-7.892330907456736e-05;0.026198795373515844;-0.006875762233425755;-0.009912165634372144;-0.006336590954614347;-0.012676685998465087	0.045294567613298906	0.33651798610569306	0.037616485273680486	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-D09_dfes.png
LK5-D09	37_SC3	LK5-D09_37_SC3	2	0.321328202367987	-0.009912165634372144	0.35368343599999996;0.203867925268641;0.2521135507286345;0.24826193834972354;0.321328202367987;0.33651798610569306;0.26073859026220547	-0.01298722494106885;-7.892330907456736e-05;0.026198795373515844;-0.006875762233425755;-0.009912165634372144;-0.006336590954614347;-0.012676685998465087	0.045294567613298906	0.33651798610569306	0.037616485273680486	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-D09_dfes.png
LK5-D09	37_SC5	LK5-D09_37_SC5	2	0.33651798610569306	-0.006336590954614347	0.35368343599999996;0.203867925268641;0.2521135507286345;0.24826193834972354;0.321328202367987;0.33651798610569306;0.26073859026220547	-0.01298722494106885;-7.892330907456736e-05;0.026198795373515844;-0.006875762233425755;-0.009912165634372144;-0.006336590954614347;-0.012676685998465087	0.045294567613298906	0.33651798610569306	0.037616485273680486	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-D09_dfes.png
LK5-D09	37_SC7	LK5-D09_37_SC7	2	0.26073859026220547	-0.012676685998465087	0.35368343599999996;0.203867925268641;0.2521135507286345;0.24826193834972354;0.321328202367987;0.33651798610569306;0.26073859026220547	-0.01298722494106885;-7.892330907456736e-05;0.026198795373515844;-0.006875762233425755;-0.009912165634372144;-0.006336590954614347;-0.012676685998465087	0.045294567613298906	0.33651798610569306	0.037616485273680486	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-D09_dfes.png
LK5-E09	30_SC3	LK5-E09_30_SC3	2	0.16761963863072152	0.0037792901413570643	0.335066005;0.16761963863072152;0.252044768664481;0.23355939341835502;0.277871369374464;0.3129307940416195;0.08241962240502734	-0.017920461775719605;0.0037792901413570643;0.011230468697280364;-0.006147354236968426;0.002274069793927899;-0.009857607870236438;0.02508997663828585	0.07622454822777552	0.3129307940416195	0.07033625533785098	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-E09_dfes.png
