Mut_ID,BC_ID,Gene,T0,T1,T2,T3,T3,Log10_freq_trajectory
104,699699,in FUN30,3179.0,655.0,288.0,11.0,11.0,-2.149929696599491;-2.277677437851272;-3.0048316923519;-3.6197476957780284;-4.457907116354911
104,737387,in FUN30,3.0,,,,,-5.175098969794601;nan;nan;nan;nan
104,818238,in FUN30,214.0,61.0,17.0,,,-3.3218064511650733;-3.308588902832288;-4.233775258732857;nan;nan
104,911180,in FUN30,559.0,140.0,39.0,2.0,2.0,-2.9048084166278407;-2.947790702164817;-3.8731595730846315;-4.3601103852722725;nan
104,924331,in FUN30,2.0,,,,,-5.351190228850283;nan;nan;nan;nan
104,945748,in FUN30,3698.0,815.0,341.0,8.0,8.0,-2.0842533176911098;-2.182761129103078;-2.931469801118633;-3.75805039394431;nan
104,94832,in FUN30,362.0,45.0,36.0,,,-3.0935116539810985;-3.440706224067711;-3.907921679343844;nan;nan
104,992978,in FUN30,473.0,59.0,45.0,,,-2.9773590837764523;-3.323066726200911;-3.811011666335787;nan;nan
105,169033,in EBS1,199.0,55.0,43.0,1.0,1.0,-3.3533671481045575;-3.353556048348811;-3.8307557245315444;-4.661140380936254;nan
105,264779,in EBS1,581.0,129.0,83.0,7.0,7.0,-2.888044092123933;-2.9833290275438062;-3.545146087735057;-3.816042340921997;-4.236058366738554
105,428644,in EBS1,5.0,8.0,,,,-4.953250220178245;-4.190828750851112;nan;nan;nan
105,491342,in EBS1,5141.0,1315.0,816.0,9.0,9.0,-1.9411726206472302;-1.9749929850172783;-2.55253402135727;-3.7068978714969285;-3.57330053505698
105,536224,in EBS1,4.0,,,,,-5.050160233186301;nan;nan;nan;nan
105,928805,in EBS1,508.0,67.0,64.0,3.0,3.0,-2.946356512230345;-3.2678439351422286;-3.6580442061272436;-4.184019126216591;nan
107,1034099,in PDE2,1.0,,,,,-5.652220224514264;nan;nan;nan;nan
108,1117848,in TRP2,997.0,129.0,41.0,,,-2.6535250662026084;-2.9833290275438062;-3.851440323391395;nan;nan
108,18975,in TRP2,900.0,133.0,79.0,8.0,8.0,-2.697977715074939;-2.9700670968759693;-3.5665970888206897;-3.75805039394431;nan
108,244888,in TRP2,337.0,64.0,21.0,,,-3.1245903236429253;-3.287738763859168;-4.142004885377212;nan;nan
108,270965,in TRP2,166.0,28.0,1.0,,,-3.432112136474209;-3.6467607065008356;-5.464224180111131;nan;nan
108,421702,in TRP2,79.0,31.0,9.0,,,-3.7545931332238225;-3.6025570440087824;-4.509981670671806;nan;nan
108,504904,in TRP2,893.0,196.0,71.0,4.0,4.0,-2.7013687656257175;-2.801662666486579;-3.6129658313920556;-4.059080389608291;nan
108,68438,in TRP2,4226.0,810.0,381.0,4.0,4.0,-2.0262907317979697;-2.185433718964405;-2.8832992044355117;-4.059080389608291;-3.9350283710745733
108,804095,in TRP2,1813.0,276.0,116.0,2.0,2.0,-2.3938224204187555;-2.6530096557778373;-3.3997661908842125;-4.3601103852722725;nan
108,883541,in TRP2,242.0,37.0,30.0,,,-3.268404858533833;-3.52571701377606;-3.9871029253914685;nan;nan
109,71840,nearby SRB2,3.0,,,,,-5.175098969794601;nan;nan;nan;nan
109,974744,nearby SRB2,2.0,,,,,-5.351190228850283;nan;nan;nan;nan
10,1027915,nearby MET4,114.0,22.0,18.0,,,-3.5953153731777916;-3.751496057020849;-4.208951675007825;nan;nan
10,1157989,nearby MET4,274.0,84.0,31.0,,,-3.214469661693876;-3.1696394517811735;-3.9728624862768585;nan;nan
10,15151,nearby MET4,976.0,205.0,76.0,,,-2.662770406847572;-2.782164876787301;-3.5834105878303397;nan;nan
10,26021,nearby MET4,1.0,2.0,,,,-5.652220224514264;-4.792888742179074;nan;nan;nan
10,26550,nearby MET4,1984.0,327.0,129.0,2.0,2.0,-2.354678556696104;-2.579370985182769;-3.353634469811882;-4.3601103852722725;nan
10,338077,nearby MET4,1803.0,366.0,89.0,3.0,3.0,-2.396224497791862;-2.5304376524486445;-3.5148341734662183;-4.184019126216591;nan
10,347284,nearby MET4,135.0,8.0,4.0,,,-3.521886456019258;-4.190828750851112;-4.862164188783169;nan;nan
10,421187,nearby MET4,53.0,7.0,1.0,,,-3.927944354913475;-4.248820697828799;-5.464224180111131;nan;nan
10,43022,nearby MET4,81.0,23.0,12.0,,,-3.7437352056356143;-3.732190901825462;-4.385042934063506;nan;nan
10,489310,nearby MET4,7.0,1.0,,,,-4.807122184500007;-5.093918737843055;nan;nan;nan
10,50514,nearby MET4,996.0,233.0,82.0,,,-2.6539608860905655;-2.726562816817036;-3.5504103277274144;nan;nan
10,557590,nearby MET4,32.0,6.0,2.0,,,-4.1470702461943585;-4.315767487459412;-5.16319418444715;nan;nan
10,597997,nearby MET4,2.0,,,,,-5.351190228850283;nan;nan;nan;nan
10,622322,nearby MET4,145.0,44.0,23.0,,,-3.490852222279289;-3.4504660613568676;-4.102496344093538;nan;nan
10,701070,nearby MET4,2.0,,,,,-5.351190228850283;nan;nan;nan;nan
10,753174,nearby MET4,43.0,3.0,,,,-4.018751768934678;-4.616797483123393;nan;nan;nan
10,7659,nearby MET4,877.0,171.0,47.0,2.0,2.0,-2.7092206311482236;-2.860922627450901;-3.7921263221754136;-4.3601103852722725;nan
10,808462,nearby MET4,1765.0,307.0,195.0,4.0,4.0,-2.4054755147904228;-2.6067803623658685;-3.174189568748613;-4.059080389608291;-4.935028371074573
10,818081,nearby MET4,260.0,48.0,28.0,,,-3.237246876543446;-3.412677500467468;-4.017066148768912;nan;nan
10,899555,nearby MET4,193.0,20.0,35.0,,,-3.3666629155064904;-3.792888742179074;-3.9201561357608554;nan;nan
10,910133,nearby MET4,53.0,2.0,3.0,,,-3.927944354913475;-4.792888742179074;-4.9871029253914685;nan;nan
10,997575,nearby MET4,4.0,,,,,-5.050160233186301;nan;nan;nan;nan
110,204188,in SCJ1,2357.0,505.0,247.0,1.0,1.0,-2.27986064198994;-2.3906273597243937;-3.0715272268514653;-4.661140380936254;nan
110,328495,in SCJ1,547.0,81.0,14.0,2.0,2.0,-2.9142328981808334;-3.185433718964405;-4.318096144432893;-4.3601103852722725;nan
110,514099,in SCJ1,50.0,8.0,10.0,,,-3.953250220178245;-4.190828750851112;-4.464224180111131;nan;nan
110,56417,in SCJ1,3.0,,,,,-5.175098969794601;nan;nan;nan;nan
110,584757,in SCJ1,5188.0,1354.0,2131.0,133.0,133.0,-1.9372202571022217;-1.9623000734939295;-2.135640730396929;-2.5372887399691675;-2.722840766670615
110,585028,in SCJ1,1.0,,,,,-5.652220224514264;nan;nan;nan;nan
110,749624,in SCJ1,103.0,28.0,19.0,,,-3.639382999809092;-3.6467607065008356;-4.185470579158302;nan;nan
110,829366,in SCJ1,2.0,,,,,-5.351190228850283;nan;nan;nan;nan
110,912508,in SCJ1,439.0,98.0,71.0,1.0,1.0,-3.0097557042721426;-3.10269266215056;-3.6129658313920556;-4.661140380936254;nan
114,100226,in STE24,28.0,14.0,14.0,,,-4.205062193172044;-3.947790702164817;-4.318096144432893;nan;nan
114,1084634,in STE24,2644.0,624.0,540.0,26.0,26.0,-2.2299587737006616;-2.298734148160631;-2.7318304202881625;-3.2461670329654355;-4.633998375410592
114,1108221,in STE24,1.0,,,,,-5.652220224514264;nan;nan;nan;nan
114,21486,in STE24,69.0,7.0,30.0,3.0,3.0,-3.8133711337770086;-4.248820697828799;-3.9871029253914685;-4.184019126216591;nan
114,238807,in STE24,493.0,139.0,104.0,6.0,6.0,-2.959373305237034;-2.95090393758896;-3.4471908408123504;-3.88298913055261;-4.457907116354911
114,256479,in STE24,11.0,,,,,-4.610827539356039;nan;nan;nan;nan
114,427196,in STE24,54.0,7.0,25.0,,,-3.9198264646912957;-4.248820697828799;-4.066284171439094;nan;-3.893635685916348
114,445179,in STE24,48.0,17.0,25.0,,,-3.9709789871386767;-3.863469816464781;-4.066284171439094;nan;nan
114,494570,in STE24,92.0,6.0,6.0,,,-3.6884323971687087;-4.315767487459412;-4.686072929727487;nan;nan
114,639948,in STE24,707.0,185.0,131.0,3.0,3.0,-2.8028008107173648;-2.8267470094400413;-3.3469528844553667;-4.184019126216591;-3.592605690252367
