Mut_ID,BC_ID,Gene,T0,T1,T2,T3,T3,Log10_freq_trajectory
102,555025,nearby YSP2,,2.0,,,,nan;-5.042888422454985;nan;nan;nan
102,561760,nearby YSP2,,3.0,,,,nan;-4.866797163399304;nan;nan;nan
102,569652,nearby YSP2,844.0,1981.0,1445.0,497.0,497.0,-2.021801447117476;-2.0470339425804194;-2.0703817640311017;-2.1328766044147334;-2.240729858150421
102,596661,nearby YSP2,,1.0,,,,nan;-5.3439184181189665;nan;nan;nan
102,702337,nearby YSP2,1.0,,,,,-4.948143893743131;nan;nan;nan;nan
102,712687,nearby YSP2,,7.0,,1.0,1.0,nan;-4.49882037810471;nan;-4.829232993148065;nan
102,855369,nearby YSP2,2.0,1.0,,1.0,1.0,-4.64711389807915;-5.3439184181189665;nan;-4.829232993148065;nan
102,927835,nearby YSP2,5.0,3.0,14.0,1.0,1.0,-4.249173889407112;-4.866797163399304;-4.0841215754454305;-4.829232993148065;-4.682163133981032
102,953345,nearby YSP2,558.0,1509.0,964.0,339.0,339.0,-2.2015096948055524;-2.1652291783433766;-2.246172577220838;-2.299033294944983;-2.422091745995957
103,1009899,in SUM1,,1.0,,,,nan;-5.3439184181189665;nan;nan;nan
103,1120412,in SUM1,1.0,,,,,-4.948143893743131;nan;nan;nan;nan
103,1129270,in SUM1,,1.0,,1.0,1.0,nan;-5.3439184181189665;nan;-4.829232993148065;-4.682163133981032
103,1155817,in SUM1,55.0,147.0,155.0,59.0,59.0,-3.2077812042488874;-3.17660108337079;-3.039917912953377;-3.058380981505921;-2.8714826587704683
103,12884,in SUM1,1.0,2.0,5.0,4.0,4.0,-4.948143893743131;-5.042888422454985;-4.53127960678765;-4.227173001820103;-4.205041879261369
103,160256,in SUM1,,,3.0,2.0,2.0,nan;nan;-4.753128356404006;-4.528202997484084;nan
103,233267,in SUM1,262.0,696.0,774.0,335.0,335.0,-2.5298426024233858;-2.5013091785084045;-2.3415086504407756;-2.30418818611122;-2.2103826277304806
103,272743,in SUM1,2.0,2.0,,1.0,1.0,-4.64711389807915;-5.042888422454985;nan;-4.829232993148065;-4.4603143843646755
103,389483,in SUM1,188.0,562.0,643.0,363.0,363.0,-2.6739860444794514;-2.5941821025499054;-2.4220386381994463;-2.269326368111953;-2.3154289660775333
103,482204,in SUM1,72.0,157.0,190.0,94.0,94.0,-3.0908113973118625;-3.1480187657097325;-2.9514960101708394;-2.8561051395483665;-2.921238285571899
103,55647,in SUM1,,1.0,,,,nan;-5.3439184181189665;nan;nan;nan
103,743348,in SUM1,2.0,,,,,-4.64711389807915;nan;nan;nan;nan
103,831759,in SUM1,140.0,408.0,451.0,242.0,242.0,-2.8020158580648933;-2.7332582550290865;-2.576073069245708;-2.4454176271676342;-2.499368188630844
103,934136,in SUM1,1.0,,,,,-4.948143893743131;nan;nan;nan;nan
104,1007111,in FUN30,,,11.0,2.0,2.0,nan;nan;-4.188856925965443;-4.528202997484084;-4.38113313831705
104,1054347,in FUN30,243.0,343.0,207.0,83.0,83.0,-2.562537620144819;-2.8086242980761957;-2.9142792656667504;-2.9101549007719916;-3.0100652760453146
104,1054586,in FUN30,61.0,148.0,106.0,36.0,36.0,-3.1628140587323643;-3.173656702724009;-3.2049437458588983;-3.272930492380778;-3.3080260399816193
104,1098450,in FUN30,73.0,204.0,116.0,73.0,73.0,-3.084821033622675;-3.0342882506930677;-3.16579162189675;-2.9659101330276094;-2.9919670539525183
104,1105704,in FUN30,4.0,4.0,2.0,3.0,3.0,-4.3460839024151685;-4.741858426791004;-4.9292196154596875;-4.352111738428403;-4.314186348686437
104,1144263,in FUN30,146.0,468.0,289.0,116.0,116.0,-2.783791037958694;-2.6736725650448423;-2.7693517683671205;-2.764775003921147;-2.906431357720801
104,12263,in FUN30,516.0,1379.0,892.0,343.0,343.0,-2.2354941921159197;-2.2043541519431167;-2.2798847567475455;-2.293938873105295;-2.38843237705855
104,12708,in FUN30,444.0,929.0,725.0,224.0,224.0,-2.3007609236285114;-2.3759027041253247;-2.3699116045526747;-2.4789849748139026;-2.5443871726675598
104,266422,in FUN30,56.0,153.0,94.0,27.0,27.0,-3.1999558667369308;-3.1592269873013676;-3.25712175752397;-3.397869228989078;-3.4432810450658953
104,344655,in FUN30,57.0,100.0,78.0,31.0,31.0,-3.1922690380706396;-3.3439184181189665;-3.338155008433188;-3.3378712993137927;-3.536035098302794
104,351203,in FUN30,88.0,136.0,81.0,36.0,36.0,-3.0036612215929623;-3.2103795097487486;-3.3217645922450187;-3.272930492380778;-3.4268906288777257
104,621835,in FUN30,1.0,2.0,,1.0,1.0,-4.948143893743131;-5.042888422454985;nan;-4.829232993148065;nan
104,642334,in FUN30,609.0,958.0,928.0,291.0,291.0,-2.163526601110256;-2.362552909040422;-2.2627016349048064;-2.365340004162158;-2.451714212602758
104,683680,in FUN30,252.0,382.0,262.0,118.0,118.0,-2.546743352961587;-2.7618550552072576;-2.811948319803923;-2.75735098584194;-2.983193129645013
104,753915,in FUN30,528.0,960.0,718.0,279.0,279.0,-2.225509971209319;-2.361647185079398;-2.374125166881368;-2.383628789874468;-2.483506047026609
104,754577,in FUN30,200.0,479.0,389.0,119.0,119.0,-2.6471138980791498;-2.6635829047044033;-2.6403000097979605;-2.7536860317555347;-2.7247154846664956
104,772482,in FUN30,942.0,2447.0,1572.0,655.0,655.0,-1.9740929909502538;-1.9552844487671772;-2.033797069420279;-2.0129916931562826;-2.0929584633386566
