Mut_ID,BC_ID,Gene,T0,T1,T2,T3,T3,Log10_freq_trajectory
102,644645,nearby YSP2,,1.0,,,,nan;-5.244803893649014;nan;nan;nan
102,656093,nearby YSP2,8.0,81.0,73.0,15.0,15.0,-3.1630495058787558;-3.3363188747703636;-3.2892956671951814;-3.3296283570286604;-3.4802225985844752
102,697011,nearby YSP2,10.0,211.0,143.0,28.0,28.0,-3.0661394928706995;-2.9205214383513205;-2.9972824898505754;-3.0585615847421224;-3.0633972457520637
102,712056,nearby YSP2,1.0,31.0,5.0,4.0,4.0,-4.0661394928706995;-3.7534421998147405;-4.453648522979618;-3.9036596247563793;-3.7812525942484565
102,741852,nearby YSP2,9.0,126.0,145.0,23.0,23.0,-3.1118969834313748;-3.1444333485314506;-2.9912505250806625;-3.1439917800667487;-3.027924927589845
102,743497,nearby YSP2,2.0,11.0,17.0,4.0,4.0,-3.7651094972067183;-4.203411208490788;-3.922169605937363;-3.9036596247563793;-4.258373848968119
102,764273,nearby YSP2,8.0,66.0,54.0,5.0,5.0,-3.1630495058787558;-3.425259958107145;-3.4202247674926687;-3.806749611748323;-3.8324051166958375
102,77617,nearby YSP2,1.0,43.0,16.0,7.0,7.0,-4.0661394928706995;-3.611335438069427;-3.9484985446597123;-3.660621576070085;-4.0365250993517625
102,795321,nearby YSP2,24.0,515.0,493.0,102.0,102.0,-2.6859282511590936;-2.5329966646078224;-2.459771608038407;-2.4971194443224243;-2.485075101378887
102,808306,nearby YSP2,,35.0,17.0,8.0,8.0,nan;-3.700735849298738;-3.922169605937363;-3.602629629092398;-3.7354951036877813
102,86421,nearby YSP2,8.0,77.0,46.0,14.0,14.0,-3.1630495058787558;-3.3583131684765313;-3.489860695634063;-3.3595915804061036;-3.4344651080238
102,915301,nearby YSP2,11.0,166.0,169.0,40.0,40.0,-3.0247468077124746;-3.024695805608958;-2.9247318227019634;-2.9036596247563793;-3.0194917600529823
102,926631,nearby YSP2,4.0,19.0,47.0,6.0,6.0,-3.464079501542737;-3.9660502926961843;-3.4805206693799198;-3.727568365700698;-3.589367068009543
102,948371,nearby YSP2,10.0,213.0,144.0,49.0,49.0,-3.0661394928706995;-2.9164242902102755;-2.9942560352203875;-2.815523536055828;-2.8324051166958375
102,953932,nearby YSP2,2.0,,,,,-3.7651094972067183;nan;nan;nan;nan
102,978262,nearby YSP2,2.0,,,,,-3.7651094972067183;nan;nan;nan;nan
103,1062890,in SUM1,1.0,25.0,12.0,2.0,2.0,-4.0661394928706995;-3.8468638849769756;-4.073437281268013;-4.2046896204203605;nan
103,1076480,in SUM1,1.0,,,,,-4.0661394928706995;nan;nan;nan;nan
103,110079,in SUM1,11.0,143.0,93.0,14.0,14.0,-3.0247468077124746;-3.0894678561839517;-3.184135578761702;-3.3595915804061036;-3.393072422865575
103,1156961,in SUM1,,3.0,3.0,,,nan;-4.767682638929351;-4.675497272595975;nan;nan
103,116639,in SUM1,8.0,147.0,73.0,14.0,14.0,-3.1630495058787558;-3.077486558900837;-3.2892956671951814;-3.3595915804061036;-3.393072422865575
103,117674,in SUM1,3.0,32.0,45.0,6.0,6.0,-3.589018238151037;-3.7396539153291073;-3.4994060135402933;-3.727568365700698;-3.7812525942484565
103,143171,in SUM1,14.0,232.0,198.0,34.0,34.0,-2.9200114571924614;-2.8793159087581137;-2.855953337054106;-2.9742406990420864;-3.1914270593375056
103,157794,in SUM1,23.0,372.0,210.0,39.0,39.0,-2.7044116568531065;-2.674260953767116;-2.8303992325817178;-2.9146550090578422;-3.054253866312194
103,180585,in SUM1,1.0,33.0,29.0,4.0,4.0,-4.0661394928706995;-3.726289953771126;-3.690220529416681;-3.9036596247563793;-4.0365250993517625
