"Environment","Bio_rep","Flask","Strain","Mut_ID","Sel_coef"
"37_SC5","1","1","LK6-D06","49","-0.0122189265"
"37_SC5","1","1","LK6-D06","14","-0.0155597704287919"
"37_SC5","1","1","LK6-D06","60","-0.00190570069443605"
"37_SC5","1","1","LK6-D06","84","0.0116497963781876"
"37_SC5","1","1","LK6-D06","24","-0.0264105783265525"
"37_SC5","1","1","LK6-D06","94","-0.0265048777825135"
"37_SC5","1","1","LK6-D06","26","0.00409787153656448"
"37_SC5","1","1","LK6-D06","96","-0.0817092227564388"
"37_SC5","1","1","LK6-D06","82","0.0102826227462027"
"37_SC5","1","1","LK6-D06","63","0.00125992142324704"
"37_SC5","1","1","LK6-D06","42","0.0206423747336617"
"37_SC5","1","1","LK6-D06","34","0.042523206275"
"37_SC5","1","1","LK6-D06","52","0.0166998883448792"
"37_SC5","1","1","LK6-D06","53","-0.045880515"
"37_SC5","1","1","LK6-D06","19","0.000989841889645946"
"37_SC5","1","1","LK6-D06","47","-0.00585948305706371"
"37_SC5","1","1","LK6-D06","117","-0.01898259025"
"37_SC5","1","1","LK6-D06","78","-0.059231415"
"37_SC5","1","1","LK6-D06","50","-0.0403297958208823"
"37_SC5","1","1","LK6-D06","120","-0.010173089"
"37_SC5","1","1","LK6-D07","102","0.0161492274342086"
"37_SC5","1","1","LK6-D07","51","0.0348348173146307"
"37_SC5","1","1","LK6-D07","44","-0.0112184778197054"
"37_SC5","1","1","LK6-D07","99","-0.00751471068383124"
"37_SC5","1","1","LK6-D07","81","0.00953554736662452"
"37_SC5","1","1","LK6-D07","127","0.0240321030864223"
"37_SC5","1","1","LK6-D07","123","0.00700767899537629"
"37_SC5","1","1","LK6-D07","6","-0.00477041167955997"
"37_SC5","1","1","LK6-D07","59","-0.0590989854462573"
"37_SC5","1","1","LK6-D07","122","0.0434215525434079"
"37_SC5","1","1","LK6-D07","29","-0.0100760143941248"
"37_SC5","1","1","LK6-D07","10","0.00313670268090727"
"37_SC5","1","1","LK6-D07","97","0.00797264285739049"
"37_SC5","1","1","LK6-D07","124","-0.00312136912531545"
"37_SC5","1","1","LK6-D07","1","-0.0128087716391658"
"37_SC5","1","1","LK6-D07","70","-0.0282140476599309"
"37_SC5","1","1","LK6-D07","80","-0.0133838185"
"37_SC5","1","1","LK6-D07","115","0.013087495"
"37_SC5","1","1","LK6-D07","17","-0.0076061906617577"
"37_SC5","1","1","LK6-D07","86","0.0153591733333333"
"37_SC5","1","1","LK6-D07","114","0.0118011972893342"
"37_SC5","1","1","LK6-D07","23","0.0117421023319116"
"37_SC5","1","1","LK6-D07","18","-0.00773986067646081"
"37_SC5","1","1","LK6-D07","68","-0.0718475301092392"
"37_SC5","1","1","LK6-D07","101","0.119924404250918"
"37_SC5","1","1","LK6-D07","85","-0.0181528427203221"
"37_SC5","1","1","LK6-D07","91","-0.00418551070647513"
"37_SC5","1","1","LK6-D07","67","0.0239111076233236"
"37_SC5","1","1","LK6-D07","5","-0.00802493940170473"
